date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-04-18,sh.600048,434.53703904,444.43380423,418.42602594,423.25932987,444.66396156,103160551.0,1925229907.27,1,0.8618,1,-4.8137,0
2022-04-19,sh.600048,425.7910605,428.32279113,411.9816207,423.02917254,423.25932987,99924221.0,1825888921.58,1,0.8348,1,-0.0544,0
2022-04-20,sh.600048,423.4894872,423.4894872,389.42620236,401.16422619,423.02917254,183960925.0,3206246688.68,1,1.5368,1,-5.1687,0
2022-04-21,sh.600048,398.1721809,411.52130604,393.79919163,403.00548483,401.16422619,96725458.0,1693446859.5,1,0.808,1,0.459,0
2022-04-22,sh.600048,397.02139425,418.8863406,385.97384241,409.21973274,403.00548483,118177410.0,2088522574.04,1,0.9873,1,1.542,0
2022-04-25,sh.600048,402.54517017,418.8863406,390.11667435,391.03730367,409.21973274,116221690.0,2035850680.89,1,0.9709,1,-4.4432,0
2022-04-26,sh.600048,392.41824765,414.97366599,389.42620236,404.38642881,391.03730367,105910310.0,1859099740.65,1,0.8848,1,3.4138,0
2022-04-27,sh.600048,401.39438352,412.44193536,377.4580212,386.20399974,404.38642881,148897182.0,2522481779.95,1,1.2439,1,-4.4963,0
2022-04-28,sh.600048,390.11667435,413.82287934,385.05321309,409.6800474,386.20399974,123607051.0,2164837555.14,1,1.0326,1,6.0787,0
2022-04-29,sh.600048,405.0769008,425.33074584,395.8706076,417.04508196,409.6800474,150898117.0,2692736832.07,1,1.2606,1,1.7978,0
2022-05-05,sh.600048,418.42602594,422.33870055,390.80714634,403.69595682,417.04508196,131606283.0,2303762291.16,1,1.0994,1,-3.2009,0
2022-05-06,sh.600048,391.95793299,399.55312488,372.39455994,377.22786387,403.69595682,111159480.0,1857214290.82,1,0.9286,1,-6.5564,0
2022-05-09,sh.600048,372.62471727,382.98179712,367.56125601,374.46597591,377.22786387,80208749.0,1304318978.07,1,0.6701,1,-0.7322,0
2022-05-10,sh.600048,367.33109868,384.13258377,354.67244553,378.60880785,374.46597591,158581816.0,2536987656.29,1,1.3248,1,1.1063,0
2022-05-11,sh.600048,374.46597591,378.83896518,360.65653611,364.33905339,378.60880785,163302606.0,2600079992.95,1,1.3642,1,-3.769,0
2022-05-12,sh.600048,365.9501547,369.40251465,350.75977092,359.0454348,364.33905339,123863208.0,1938048716.02,1,1.0348,1,-1.4529,0
2022-05-13,sh.600048,365.48984004,382.52148246,360.42637878,381.83101047,359.0454348,159042351.0,2572346408.33,1,1.3286,1,6.3462,0
2022-05-16,sh.600048,394.94997828,398.86265289,372.39455994,389.88651702,381.83101047,158329561.0,2651642909.26,1,1.3227,1,2.1097,0
2022-05-17,sh.600048,384.13258377,395.8706076,380.45006649,390.11667435,389.88651702,79985339.0,1350312062.63,1,0.6682,1,0.059,0
