date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-04-15,sh.600023,6.19809784,6.2708028,6.14356912,6.23445032,6.19809784,17616630.0,60274409.9,1,0.1295,1,0.5865,0
2022-04-18,sh.600023,6.19809784,6.23445032,6.12539288,6.21627408,6.23445032,14857537.0,50463972.73,1,0.1092,1,-0.2915,0
2022-04-19,sh.600023,6.21627408,6.30715528,6.19809784,6.28897904,6.21627408,16219100.0,55900907.8,1,0.1193,1,1.1696,0
2022-04-20,sh.600023,6.30715528,6.32533152,6.19809784,6.23445032,6.28897904,16533175.0,56970826.25,1,0.1216,1,-0.8671,0
2022-04-21,sh.600023,6.28897904,6.28897904,6.05268792,6.10721664,6.23445032,22212784.0,75243381.15,1,0.1633,1,-2.0408,0
2022-04-22,sh.600023,6.07086416,6.25262656,5.9981592,6.21627408,6.10721664,25999134.0,87709518.44,1,0.1912,1,1.7857,0
2022-04-25,sh.600023,6.14356912,6.19809784,5.907278,5.907278,6.21627408,27558287.0,91883164.67,1,0.2026,1,-4.9708,0
2022-04-26,sh.600023,5.92545424,6.01633544,5.79822056,5.79822056,5.907278,28018941.0,90828686.09,1,0.206,1,-1.8462,0
2022-04-27,sh.600023,5.79822056,5.97998296,5.76186808,5.97998296,5.79822056,19117922.0,61909112.65,1,0.1406,1,3.1348,0
2022-04-28,sh.600023,5.97998296,6.361684,5.92545424,6.19809784,5.97998296,44422725.0,151344759.04,1,0.3266,1,3.6474,0
2022-04-29,sh.600023,6.23445032,6.39803648,6.19809784,6.23445032,6.19809784,35579205.0,122715176.79,1,0.2616,1,0.5865,0
2022-05-05,sh.600023,6.21627408,6.2708028,6.1799216,6.23445032,6.23445032,16124281.0,55217705.6,1,0.1186,1,0.0,0
2022-05-06,sh.600023,6.12539288,6.21627408,6.10721664,6.19809784,6.23445032,15723483.0,53329863.61,1,0.1156,1,-0.5831,0
2022-05-09,sh.600023,6.1799216,6.2708028,6.16174536,6.2708028,6.19809784,16269637.0,55920860.08,1,0.1196,1,1.173,0
2022-05-10,sh.600023,6.23445032,6.361684,6.1799216,6.34350776,6.2708028,23354331.0,80942868.37,1,0.1717,1,1.1594,0
2022-05-11,sh.600023,6.32533152,6.37986024,6.2708028,6.28897904,6.34350776,21559951.0,74882594.04,1,0.1585,1,-0.8596,0
2022-05-12,sh.600023,6.30715528,6.41621272,6.23445032,6.32533152,6.28897904,19413795.0,67662379.42,1,0.1427,1,0.578,0
2022-05-13,sh.600023,6.34350776,6.39803648,6.30715528,6.37986024,6.32533152,16692602.0,58417145.29,1,0.1227,1,0.8621,0
2022-05-16,sh.600023,6.361684,6.37986024,6.28897904,6.34350776,6.37986024,15792592.0,55065078.37,1,0.1161,1,-0.5698,0
2022-05-17,sh.600023,6.34350776,6.361684,6.21627408,6.25262656,6.34350776,13998955.0,48297260.65,1,0.1029,1,-1.4327,0
2022-05-18,sh.600023,6.25262656,6.30715528,6.21627408,6.2708028,6.25262656,14158857.0,48789523.06,1,0.1041,1,0.2907,0
2022-05-19,sh.600023,6.19809784,6.21627408,6.0890404,6.19809784,6.2708028,24369874.0,82390487.09,1,0.1792,1,-1.1594,0
2022-05-20,sh.600023,6.19809784,6.25262656,6.16174536,6.21627408,6.19809784,18500557.0,63276206.94,1,0.136,1,0.2933,0
2022-05-23,sh.600023,6.23445032,6.23445032,6.16174536,6.19809784,6.21627408,13755008.0,46845166.4,1,0.1011,1,-0.2924,0
2022-05-24,sh.600023,6.19809784,6.23445032,6.03451168,6.05268792,6.19809784,17832232.0,60142152.7,1,0.1311,1,-2.346,0
2022-05-25,sh.600023,6.05268792,6.1799216,6.01633544,6.1799216,6.05268792,16125088.0,54204147.92,1,0.1186,1,2.1021,0
2022-05-26,sh.600023,6.16174536,6.28897904,6.14356912,6.21627408,6.1799216,18230193.0,62319098.2,1,0.134,1,0.5882,0
2022-05-27,sh.600023,6.19809784,6.23445032,6.14356912,6.19809784,6.21627408,17871399.0,60881718.41,1,0.1314,1,-0.2924,0
2022-05-30,sh.600023,6.23445032,6.37986024,6.19809784,6.361684,6.19809784,37511129.0,130660907.43,1,0.2758,1,2.6393,0
2022-05-31,sh.600023,6.37986024,6.41621272,6.32533152,6.361684,6.361684,18494087.0,64743594.88,1,0.136,1,0.0,0
2022-06-01,sh.600023,6.34350776,6.361684,6.21627408,6.28897904,6.361684,26982522.0,93124909.46,1,0.1984,1,-1.1429,0
2022-06-02,sh.600023,6.25262656,6.30715528,6.21627408,6.2708028,6.28897904,14223300.0,49013110.0,1,0.1046,1,-0.289,0
2022-06-06,sh.600023,6.25262656,6.2708028,6.21627408,6.25262656,6.2708028,17610904.0,60467048.68,1,0.1295,1,-0.2899,0
2022-06-07,sh.600023,6.25262656,6.28897904,6.1799216,6.21627408,6.25262656,20459000.0,70200875.0,1,0.1504,1,-0.5814,0
2022-06-08,sh.600023,6.28897904,6.83426624,6.28897904,6.70703256,6.21627408,164838701.0,601744929.0,1,1.212,1,7.8947,0
2022-06-09,sh.600023,6.59797512,6.65250384,6.39803648,6.39803648,6.70703256,100519461.0,360017010.09,1,0.7391,1,-4.607,0
2022-06-10,sh.600023,6.361684,6.48891768,6.32533152,6.41621272,6.39803648,51740107.0,182774322.13,1,0.3804,1,0.2841,0
2022-06-13,sh.600023,6.39803648,6.41621272,6.23445032,6.28897904,6.41621272,46457445.0,160898802.65,1,0.3416,1,-1.983,0
2022-06-14,sh.600023,6.25262656,6.37986024,6.19809784,6.37986024,6.28897904,41130557.0,142314796.36,1,0.3024,1,1.4451,0
2022-06-15,sh.600023,6.361684,6.43438896,6.30715528,6.34350776,6.37986024,35981327.0,126013932.93,1,0.2646,1,-0.5698,0
2022-06-16,sh.600023,6.34350776,6.361684,6.25262656,6.2708028,6.34350776,31617540.0,109583711.38,1,0.2325,1,-1.1461,0
2022-06-17,sh.600023,6.23445032,6.30715528,6.21627408,6.28897904,6.2708028,25640026.0,88343867.65,1,0.1885,1,0.2899,0
2022-06-20,sh.600023,6.28897904,6.4525652,6.23445032,6.41621272,6.28897904,46798382.0,164054546.37,1,0.3441,1,2.0231,0
2022-06-21,sh.600023,6.41621272,6.50709392,6.39803648,6.4525652,6.41621272,39958424.0,141791608.69,1,0.2938,1,0.5666,0
2022-06-22,sh.600023,6.4525652,6.47074144,6.32533152,6.32533152,6.4525652,24022469.0,84513914.26,1,0.1766,1,-1.9718,0
2022-06-23,sh.600023,6.32533152,6.361684,6.25262656,6.361684,6.32533152,17876251.0,62100286.26,1,0.1314,1,0.5747,0
2022-06-24,sh.600023,6.361684,6.37986024,6.28897904,6.37986024,6.361684,23349355.0,81438562.82,1,0.1717,1,0.2857,0
2022-06-27,sh.600023,6.37986024,6.41621272,6.32533152,6.361684,6.37986024,22842883.0,80023910.85,1,0.168,1,-0.2849,0
2022-06-28,sh.600023,6.37986024,6.43438896,6.361684,6.39803648,6.361684,23145598.0,81407736.64,1,0.1702,1,0.5714,0
2022-06-29,sh.600023,6.39803648,6.39803648,6.32533152,6.32533152,6.39803648,22015129.0,76947111.98,1,0.1619,1,-1.1364,0
2022-06-30,sh.600023,6.34350776,6.37986024,6.30715528,6.30715528,6.32533152,25957222.0,90366848.78,1,0.1909,1,-0.2874,0
2022-07-01,sh.600023,6.32533152,6.41621272,6.32533152,6.361684,6.30715528,33613532.0,117747970.24,1,0.2471,1,0.8646,0
2022-07-04,sh.600023,6.34350776,6.70703256,6.32533152,6.56162264,6.361684,72416004.0,261511590.16,1,0.5324,1,3.1429,0
2022-07-05,sh.600023,6.57979888,6.7252088,6.52527016,6.61615136,6.56162264,64352861.0,234872583.45,1,0.4732,1,0.831,0
2022-07-06,sh.600023,6.59797512,6.70703256,6.52527016,6.59797512,6.61615136,41390904.0,150284647.53,1,0.3043,1,-0.2747,0
2022-07-07,sh.600023,6.67068008,6.85244248,6.6343276,6.74338504,6.59797512,62221544.0,231197285.8,1,0.4575,1,2.2039,0
2022-07-08,sh.600023,6.74338504,6.9069712,6.68885632,6.85244248,6.74338504,55503280.0,208084137.89,1,0.4081,1,1.6173,0
2022-07-11,sh.600023,6.9069712,7.16143856,6.87061872,6.92514744,6.85244248,90046069.0,346549788.24,1,0.6621,1,1.061,0
2022-07-12,sh.600023,6.9069712,7.01602864,6.79791376,6.96149992,6.92514744,63320088.0,241586487.18,1,0.4656,1,0.5249,0
2022-07-13,sh.600023,6.94332368,7.03420488,6.87061872,7.01602864,6.96149992,51224812.0,196194781.04,1,0.3766,1,0.7833,0
2022-07-14,sh.600023,6.88879496,6.9069712,6.67068008,6.7252088,7.01602864,71533055.0,266404559.85,1,0.526,1,-4.1451,0
2022-07-15,sh.600023,6.67068008,6.76156128,6.56162264,6.56162264,6.7252088,48099351.0,175589691.15,1,0.3537,1,-2.4324,0
2022-07-18,sh.600023,6.59797512,6.83426624,6.57979888,6.77973752,6.56162264,55222247.0,205131594.9,1,0.406,1,3.3241,0
2022-07-19,sh.600023,6.81609,6.85244248,6.61615136,6.65250384,6.77973752,37930412.0,139441904.47,1,0.2789,1,-1.8767,0
2022-07-20,sh.600023,6.68885632,6.68885632,6.5434464,6.59797512,6.65250384,34818239.0,126300802.18,1,0.256,1,-0.8197,0
2022-07-21,sh.600023,6.59797512,6.59797512,6.48891768,6.48891768,6.59797512,30630202.0,109940676.69,1,0.2252,1,-1.6529,0
2022-07-22,sh.600023,6.48891768,6.56162264,6.4525652,6.50709392,6.48891768,23344600.0,83466610.0,1,0.1716,1,0.2801,0
2022-07-25,sh.600023,6.50709392,6.52527016,6.361684,6.37986024,6.50709392,28506087.0,100611510.9,1,0.2096,1,-1.9553,0
2022-07-26,sh.600023,6.39803648,6.39803648,6.30715528,6.34350776,6.37986024,24786938.0,86415778.06,1,0.1822,1,-0.5698,0
2022-07-27,sh.600023,6.32533152,6.41621272,6.32533152,6.361684,6.34350776,21296336.0,74468764.1,1,0.1566,1,0.2865,0
2022-07-28,sh.600023,6.361684,6.39803648,6.32533152,6.34350776,6.361684,23535627.0,82375394.69,1,0.173,1,-0.2857,0
2022-07-29,sh.600023,6.34350776,6.41621272,6.30715528,6.32533152,6.34350776,24435293.0,85424933.42,1,0.1797,1,-0.2865,0
2022-08-01,sh.600023,6.30715528,6.32533152,6.21627408,6.2708028,6.32533152,33276466.0,114441614.89,1,0.2447,1,-0.8621,0
2022-08-02,sh.600023,6.23445032,6.23445032,6.05268792,6.16174536,6.2708028,36518937.0,123282012.8,1,0.2685,1,-1.7391,0
2022-08-03,sh.600023,6.14356912,6.21627408,6.0890404,6.0890404,6.16174536,20424025.0,69130209.96,1,0.1502,1,-1.1799,0
2022-08-04,sh.600023,6.10721664,6.16174536,6.0890404,6.14356912,6.0890404,14154530.0,47679155.0,1,0.1041,1,0.8955,0
